family,city,source_file,source_crs,target_file,target_crs,target_geometry_type,target_features,status,message
admin_district,ahmedabad,output/dist_bound/ahmd_dist_bound/ahmd_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/ahmedabad_dist_bound.gpkg,EPSG:4326,Polygon Z,1,ok,ok
admin_district,bengaluru,output/dist_bound/beng(u)_dist_bound/beng(u)_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/bengaluru_dist_bound.gpkg,EPSG:4326,Polygon Z,1,ok,ok
admin_district,chandigarh,output/dist_bound/chd_dist_bound/chd_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/chandigarh_dist_bound.gpkg,EPSG:4326,Polygon Z,1,ok,ok
admin_district,chennai,output/dist_bound/chen_dist_bound/chen_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/chennai_dist_bound.gpkg,EPSG:4326,Polygon Z,1,ok,ok
admin_district,delhi,output/dist_bound/delhi_dist_bound/delhi_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/delhi_dist_bound.gpkg,EPSG:4326,Polygon Z,12,ok,ok
admin_district,kolkata,output/dist_bound/kol_dist_bound/kol_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/kolkata_dist_bound.gpkg,EPSG:4326,Polygon Z,1,ok,ok
admin_district,mumbai,output/dist_bound/mum_dist_bound/mum_dist_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/dist_bound/canonical_epsg4326/mumbai_dist_bound.gpkg,EPSG:4326,Polygon Z,2,ok,ok
admin_subdistrict,ahmedabad,output/sub_dist_bound/ahd_subd_bound/ahd_subd_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/sub_dist_bound/canonical_epsg4326/ahmedabad_subdist_bound.gpkg,EPSG:4326,Polygon,2,ok,ok
admin_subdistrict,bengaluru,output/sub_dist_bound/beng(u)_subd_bound/beng(u)_subd_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/sub_dist_bound/canonical_epsg4326/bengaluru_subdist_bound.gpkg,EPSG:4326,Polygon,6,ok,ok
admin_subdistrict,chandigarh,output/sub_dist_bound/chd_subd_bound/chd_subd_bound.shp,"PROJCS[""LCC_WGS84"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",24],PARAMETER[""central_meridian"",80],PARAMETER[""standard_parallel_1"",12.472944],PARAMETER[""standard_parallel_2"",35.172806],PARAMETER[""false_easting"",4000000],PARAMETER[""false_northing"",4000000],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",output/sub_dist_bound/canonical_epsg4326/chandigarh_subdist_bound.gpkg,EPSG:4326,Polygon,1,ok,ok
